task   id   group   session   trial   condition   trialxcondition   gripFreq
PIT   100   control   second   1    CSplus   1   13
PIT   100   control   second   2    CSplus   2   15
PIT   100   control   second   3    CSplus   3   15
PIT   100   control   second   4    CSminus   1   14
PIT   100   control   second   5    CSminus   2   14
PIT   100   control   second   6    CSminus   3   16
PIT   100   control   second   7    BL   1   17
PIT   100   control   second   8    BL   2   16
PIT   100   control   second   9    BL   3   16
PIT   100   control   second   10    BL   4   14
PIT   100   control   second   11    BL   5   14
PIT   100   control   second   12    BL   6   12
PIT   100   control   second   13    CSplus   4   14
PIT   100   control   second   14    CSplus   5   16
PIT   100   control   second   15    CSplus   6   12
PIT   100   control   second   16    CSminus   4   16
PIT   100   control   second   17    CSminus   5   17
PIT   100   control   second   18    CSminus   6   16
PIT   100   control   second   19    CSminus   7   16
PIT   100   control   second   20    CSminus   8   10
PIT   100   control   second   21    CSminus   9   11
PIT   100   control   second   22    BL   7   12
PIT   100   control   second   23    BL   8   13
PIT   100   control   second   24    BL   9   15
PIT   100   control   second   25    CSplus   7   10
PIT   100   control   second   26    CSplus   8   8
PIT   100   control   second   27    CSplus   9   9
PIT   100   control   second   28    CSminus   10   16
PIT   100   control   second   29    CSminus   11   16
PIT   100   control   second   30    CSminus   12   15
PIT   100   control   second   31    BL   10   17
PIT   100   control   second   32    BL   11   18
PIT   100   control   second   33    BL   12   19
PIT   100   control   second   34    CSplus   10   18
PIT   100   control   second   35    CSplus   11   22
PIT   100   control   second   36    CSplus   12   15
PIT   100   control   second   37    BL   13   18
PIT   100   control   second   38    BL   14   21
PIT   100   control   second   39    BL   15   20
PIT   100   control   second   40    CSplus   13   18
PIT   100   control   second   41    CSplus   14   21
PIT   100   control   second   42    CSplus   15   19
PIT   100   control   second   43    CSminus   13   18
PIT   100   control   second   44    CSminus   14   18
PIT   100   control   second   45    CSminus   15   20
PIT   102   control   second   1    CSplus   1   6
PIT   102   control   second   2    CSplus   2   8
PIT   102   control   second   3    CSplus   3   6
PIT   102   control   second   4    CSminus   1   8
PIT   102   control   second   5    CSminus   2   8
PIT   102   control   second   6    CSminus   3   7
PIT   102   control   second   7    BL   1   8
PIT   102   control   second   8    BL   2   7
PIT   102   control   second   9    BL   3   8
PIT   102   control   second   10    BL   4   8
PIT   102   control   second   11    BL   5   8
PIT   102   control   second   12    BL   6   9
PIT   102   control   second   13    CSplus   4   8
PIT   102   control   second   14    CSplus   5   8
PIT   102   control   second   15    CSplus   6   7
PIT   102   control   second   16    CSminus   4   8
PIT   102   control   second   17    CSminus   5   9
PIT   102   control   second   18    CSminus   6   9
PIT   102   control   second   19    CSminus   7   9
PIT   102   control   second   20    CSminus   8   10
PIT   102   control   second   21    CSminus   9   11
PIT   102   control   second   22    CSplus   7   5
PIT   102   control   second   23    CSplus   8   5
PIT   102   control   second   24    CSplus   9   8
PIT   102   control   second   25    BL   7   8
PIT   102   control   second   26    BL   8   9
PIT   102   control   second   27    BL   9   9
PIT   102   control   second   28    CSminus   10   9
PIT   102   control   second   29    CSminus   11   9
PIT   102   control   second   30    CSminus   12   9
PIT   102   control   second   31    BL   10   9
PIT   102   control   second   32    BL   11   9
PIT   102   control   second   33    BL   12   9
PIT   102   control   second   34    CSplus   10   2
PIT   102   control   second   35    CSplus   11   5
PIT   102   control   second   36    CSplus   12   8
PIT   102   control   second   37    BL   13   9
PIT   102   control   second   38    BL   14   9
PIT   102   control   second   39    BL   15   9
PIT   102   control   second   40    CSminus   13   9
PIT   102   control   second   41    CSminus   14   9
PIT   102   control   second   42    CSminus   15   9
PIT   102   control   second   43    CSplus   13   0
PIT   102   control   second   44    CSplus   14   0
PIT   102   control   second   45    CSplus   15   0
PIT   105   control   second   1    CSplus   1   1
PIT   105   control   second   2    CSplus   2   3
PIT   105   control   second   3    CSplus   3   5
PIT   105   control   second   4    BL   1   3
PIT   105   control   second   5    BL   2   2
PIT   105   control   second   6    BL   3   4
PIT   105   control   second   7    CSminus   1   3
PIT   105   control   second   8    CSminus   2   3
PIT   105   control   second   9    CSminus   3   4
PIT   105   control   second   10    BL   4   6
PIT   105   control   second   11    BL   5   0
PIT   105   control   second   12    BL   6   4
PIT   105   control   second   13    CSminus   4   5
PIT   105   control   second   14    CSminus   5   8
PIT   105   control   second   15    CSminus   6   7
PIT   105   control   second   16    CSplus   4   5
PIT   105   control   second   17    CSplus   5   6
PIT   105   control   second   18    CSplus   6   6
PIT   105   control   second   19    CSminus   7   9
PIT   105   control   second   20    CSminus   8   9
PIT   105   control   second   21    CSminus   9   10
PIT   105   control   second   22    CSplus   7   10
PIT   105   control   second   23    CSplus   8   8
PIT   105   control   second   24    CSplus   9   9
PIT   105   control   second   25    BL   7   6
PIT   105   control   second   26    BL   8   7
PIT   105   control   second   27    BL   9   8
PIT   105   control   second   28    CSplus   10   7
PIT   105   control   second   29    CSplus   11   6
PIT   105   control   second   30    CSplus   12   7
PIT   105   control   second   31    BL   10   6
PIT   105   control   second   32    BL   11   5
PIT   105   control   second   33    BL   12   6
PIT   105   control   second   34    CSminus   10   7
PIT   105   control   second   35    CSminus   11   9
PIT   105   control   second   36    CSminus   12   8
PIT   105   control   second   37    CSminus   13   6
PIT   105   control   second   38    CSminus   14   4
PIT   105   control   second   39    CSminus   15   9
PIT   105   control   second   40    CSplus   13   8
PIT   105   control   second   41    CSplus   14   5
PIT   105   control   second   42    CSplus   15   8
PIT   105   control   second   43    BL   13   5
PIT   105   control   second   44    BL   14   4
PIT   105   control   second   45    BL   15   6
PIT   106   control   second   1    CSplus   1   0
PIT   106   control   second   2    CSplus   2   0
PIT   106   control   second   3    CSplus   3   0
PIT   106   control   second   4    BL   1   0
PIT   106   control   second   5    BL   2   0
PIT   106   control   second   6    BL   3   0
PIT   106   control   second   7    CSminus   1   0
PIT   106   control   second   8    CSminus   2   0
PIT   106   control   second   9    CSminus   3   0
PIT   106   control   second   10    CSplus   4   0
PIT   106   control   second   11    CSplus   5   0
PIT   106   control   second   12    CSplus   6   0
PIT   106   control   second   13    BL   4   0
PIT   106   control   second   14    BL   5   0
PIT   106   control   second   15    BL   6   0
PIT   106   control   second   16    CSminus   4   0
PIT   106   control   second   17    CSminus   5   0
PIT   106   control   second   18    CSminus   6   0
PIT   106   control   second   19    BL   7   0
PIT   106   control   second   20    BL   8   0
PIT   106   control   second   21    BL   9   0
PIT   106   control   second   22    CSminus   7   0
PIT   106   control   second   23    CSminus   8   0
PIT   106   control   second   24    CSminus   9   0
PIT   106   control   second   25    CSplus   7   0
PIT   106   control   second   26    CSplus   8   0
PIT   106   control   second   27    CSplus   9   0
PIT   106   control   second   28    BL   10   0
PIT   106   control   second   29    BL   11   0
PIT   106   control   second   30    BL   12   0
PIT   106   control   second   31    CSplus   10   0
PIT   106   control   second   32    CSplus   11   0
PIT   106   control   second   33    CSplus   12   0
PIT   106   control   second   34    CSminus   10   0
PIT   106   control   second   35    CSminus   11   0
PIT   106   control   second   36    CSminus   12   0
PIT   106   control   second   37    BL   13   0
PIT   106   control   second   38    BL   14   0
PIT   106   control   second   39    BL   15   0
PIT   106   control   second   40    CSplus   13   0
PIT   106   control   second   41    CSplus   14   0
PIT   106   control   second   42    CSplus   15   0
